Date/Time	Commit Message
16/04/2016 14:39	*Re-formatted the Entities Class Diagram to better fit on an A4 page. *Added publication file for a recent publish to Azure.
16/04/2016 14:08	*Updated Entities for Final Report.
14/04/2016 18:09	"*Added logic to Post the suggestions on Facebook. *Added logic to handle a bug that only happens on Azure. *Changed some of the int/double logic as it was providing incorrect results, because the decimal value was being disregarded. *Completed the logic for posting suggestions on Twitter. *Fixed JS bug that prevented the Facebook suggestion posting to happen."
14/04/2016 12:28	*Updated jQuery.
14/04/2016 12:27	"*Added basic method to Twitter Controller to handle the autmatic posting. *Added Ajax requests to the Facebook and Twitter Controller, then alert the User as required, and prevent that being published again. *Added logic in the View to make these calls upon request."
13/04/2016 23:08	*Split up the Social Media Notification Views into separate partials. *Added a model that displays as a result of the query. *The suggestions are currently dismissible.
13/04/2016 18:52	*Fixed problems with limitations of Linq. *Fixed View id bug.
13/04/2016 17:59	*Cleaned up the Social Media Notifications. *Added functionality to toggle all of the check boxes together.
13/04/2016 16:30	"*Added improved progress on the Notification options available, and the back end logic."
12/04/2016 22:29	*Added a Managment part to the Notifications.
27/03/2016 23:07	"*Added an empty method to correctly handle the request for Social Media Notifications. *Added some notification ViewModels to fill as required. *Fixed the display issues with Social Media Notifications layout, just required additional queries."
27/03/2016 18:21	"*Added functionality to prevent the Home Twitter Timeline loading automatically, and now can be toggled on/off, this clears up the page, and should prevent any delays when loading the Timelines."
27/03/2016 17:40	*Cleaned up the Twitter reply box. *Changed logic to detect if a Tweet was suitable to create a Ticket from it. *Added functionality to check if a suitable Tweet already has a Ticket.
26/03/2016 22:12	"*Added functionality to post intended Twitter reply to Twitter Controller, with the Tweet Id and message body."
26/03/2016 21:25	"*Added working buttons for the Twitter Timeline, that will dynamically display depending on requirements and will properly load the child comment if present. *Functionality for creating the Tweet into a Ticket works. *Funtionality to reply to a Tweet appears and needs completing. **Finally!"
26/03/2016 17:32	*Part way through trying to figure out why the Twitter menu is behaving strangely.
26/03/2016 15:41	"*Trialling a different way of getting Twitter Credentials.  *Added functionality to the Tickets Controller to pre-load a new Ticket with information. *Added a method to Twitter Controller to handle a Reply, needs completing. *Added functionality to Tickets-Index to show the '+' for a new Ticket on the correct Tweets."
26/03/2016 12:25	*Added functionality to the Twitter-Index to make the 'new ticket' cleaner than just text.
